title,production_budget,domestic_gross_x,worldwide_gross,studio,genre_ids,original_language,popularity,vote_average,vote_count,date,Year,Month
A Walk in the Woods,8000000.0,29499394.0,37119358.0,BG,"[12, 35, 18]",en,6.935,5.9,402.0,2015-09-02,2015.0,9.0
That Awkward Moment,8000000.0,26068955.0,53068955.0,Focus,"[35, 10749]",en,8.649,6.1,1759.0,2014-01-31,2014.0,1.0
Enough Said,8000000.0,17550872.0,25621449.0,FoxS,"[35, 18, 10749]",en,8.722000000000001,6.7,464.0,2013-09-18,2013.0,9.0
Begin Again,8000000.0,16170632.0,68838736.0,Wein.,"[35, 10402, 10749, 18]",en,10.828,7.2,2089.0,2014-07-11,2014.0,7.0
Prom,8000000.0,10130219.0,10763183.0,BV,"[35, 10749]",en,6.9110000000000005,6.0,276.0,2011-04-29,2011.0,4.0
Me and Earl and the Dying Girl,8000000.0,6758416.0,9266180.0,FoxS,"[35, 18]",en,8.677,7.6,1570.0,2015-06-12,2015.0,6.0
It's Kind of a Funny Story,8000000.0,6363628.0,6632950.0,Focus,"[35, 18]",en,10.01,7.0,1324.0,2010-10-08,2010.0,10.0
Morgan,8000000.0,3915251.0,7298786.0,Fox,[18],en,1.111,6.7,12.0,2012-01-07,2012.0,1.0
Anomalisa,8000000.0,3759286.0,5706168.0,Par.,"[16, 35, 18, 10749]",en,10.285,7.1,927.0,2015-12-30,2015.0,12.0
Another Year,8000000.0,3205706.0,20005613.0,SPC,"[35, 18]",en,9.394,7.0,150.0,2010-12-29,2010.0,12.0
Le pass̩,8000000.0,1335672.0,15752575.0,,,,,,,,2013.0,12.0
Lean on Pete,8000000.0,1163056.0,2455027.0,A24,"[18, 12]",en,9.307,6.9,133.0,2018-04-06,2018.0,4.0
Made in Dagenham,8000000.0,1095369.0,15644196.0,SPC,"[35, 18, 36]",en,7.275,6.6,150.0,2010-11-19,2010.0,11.0
El Chicano,8000000.0,700261.0,700261.0,,"[18, 28, 80]",en,5.274,9.0,1.0,2019-05-03,2019.0,5.0
The Secret of Kells,8000000.0,690290.0,3582797.0,GK,,,,,,,2010.0,3.0
London Fields,8000000.0,252676.0,433732.0,,"[80, 9648, 53, 18]",en,8.557,5.3,59.0,2018-10-26,2018.0,10.0
Restless,8000000.0,163753.0,2772511.0,,"[18, 10749]",en,7.268,6.4,258.0,2011-09-16,2011.0,9.0
Wild Target,8000000.0,109338.0,5314194.0,Free,"[28, 35]",en,9.355,6.4,356.0,2010-10-29,2010.0,10.0
Wuthering Heights,8000000.0,100915.0,2721534.0,,"[18, 10749]",en,7.61,6.1,115.0,2012-04-09,2012.0,4.0
A Street Cat Named Bob,8000000.0,82703.0,17382693.0,Cleopatra,"[18, 10751, 35]",en,7.12,7.5,500.0,2016-11-18,2016.0,11.0
Aloft,8000000.0,53086.0,237688.0,,[18],en,4.944,5.5,61.0,2015-05-22,2015.0,5.0
Fireflies in the Garden,8000000.0,36884.0,3587191.0,,[18],en,5.121,6.3,96.0,2011-10-11,2011.0,10.0
Feichang Xingyun,8000000.0,0.0,21970000.0,,,,,,,,2013.0,9.0
"Don Gato, el inicio de la pandilla",8000000.0,0.0,4604656.0,,,,,,,,2017.0,9.0
Backstabbing For Beginners,8000000.0,0.0,343773.0,,,,,,,,2018.0,4.0
Swelter,8000000.0,0.0,44197.0,,"[28, 18, 53]",en,5.232,5.1,44.0,2014-04-20,2014.0,4.0
Green Street Hooligans: Underground,8000000.0,0.0,0.0,,"[28, 18]",en,4.478,5.4,57.0,2014-09-05,2014.0,9.0
Henry Joseph Church,8000000.0,0.0,0.0,,,,,,,,2015.0,12.0
Code of Honor,8000000.0,0.0,0.0,,"[28, 80, 53]",en,4.408,4.2,36.0,2016-05-06,2016.0,5.0
Burn Your Maps,8000000.0,0.0,0.0,,,,,,,,2019.0,6.0
Loin des hommes,7700000.0,5336.0,1080428.0,,,,,,,,2015.0,4.0
The Neon Demon,7500000.0,1333124.0,3559803.0,BG,"[53, 27, 9648]",en,11.787,6.6,2005.0,2016-06-14,2016.0,6.0
Borg vs McEnroe,7500000.0,231346.0,3257922.0,,"[18, 36]",sv,9.955,7.1,548.0,2017-10-24,2017.0,10.0
Black November,7500000.0,0.0,32572.0,,"[18, 28, 80]",en,1.366,5.9,5.0,2012-12-07,2012.0,12.0
Outside Bet,7500000.0,0.0,13524.0,,,,,,,,2015.0,2.0
Pound of Flesh,7500000.0,0.0,0.0,,[28],en,6.921,5.4,95.0,2015-05-07,2015.0,5.0
The Bye Bye Man,7400000.0,22395806.0,31187727.0,STX,"[27, 53]",en,9.847,5.1,678.0,2017-01-13,2017.0,1.0
Harry Brown,7300000.0,1818681.0,12023606.0,Gold.,"[53, 80, 18, 28]",en,10.555,6.8,505.0,2010-04-30,2010.0,4.0
Die Welle,7250000.0,0.0,35122948.0,,,,,,,,2011.0,5.0
3,7200000.0,59774.0,295492.0,,"[27, 9648, 53]",en,1.816,6.0,2.0,2018-08-07,2018.0,8.0
Magic Mike,7000000.0,113721571.0,170549753.0,WB,"[18, 35]",en,13.7,6.1,1850.0,2012-06-29,2012.0,6.0
I Can Only Imagine,7000000.0,83482352.0,85604221.0,,"[18, 10751, 10402]",en,9.7,7.6,155.0,2018-03-16,2018.0,3.0
Five Feet Apart,7000000.0,45729221.0,80504421.0,,,,,,,,2019.0,3.0
Jumping the Broom,7000000.0,37295394.0,38158601.0,TriS,[35],en,8.477,6.0,103.0,2011-05-06,2011.0,5.0
Gifted,7000000.0,24801212.0,36964656.0,FoxS,"[18, 10751, 35]",en,16.745,7.9,2035.0,2017-04-12,2017.0,4.0
Dope,7000000.0,17506470.0,18190831.0,ORF,"[80, 18, 35]",en,9.246,7.2,954.0,2015-06-19,2015.0,6.0
BrightBurn,7000000.0,16794432.0,27989498.0,,,,,,,,2019.0,5.0
Devil's Due,7000000.0,15821461.0,36146087.0,Fox,[27],en,5.893,4.5,303.0,2014-01-17,2014.0,1.0
Beyond the Lights,7000000.0,14618727.0,14618727.0,,"[10749, 18]",en,7.717,7.0,238.0,2014-11-14,2014.0,11.0
Get Low,7000000.0,9176933.0,10828305.0,SPC,"[35, 18, 9648]",en,8.215,6.7,135.0,2010-01-22,2010.0,1.0
Cyrus,7000000.0,7468936.0,10062896.0,FoxS,"[35, 18, 10749]",en,7.735,6.0,201.0,2010-06-18,2010.0,6.0
The Mighty Macs,7000000.0,1891936.0,1891936.0,,,,,,,,2011.0,10.0
Somewhere,7000000.0,1785645.0,17023121.0,Focus,"[35, 18]",en,7.596,6.1,376.0,2010-12-22,2010.0,12.0
The Christmas Candle,7000000.0,1632000.0,1933829.0,ELS,"[18, 10751]",en,1.4,6.0,15.0,2013-11-22,2013.0,11.0
Mother and Child,7000000.0,1110509.0,6537179.0,SPC,,,,,,,2010.0,5.0
Freeheld,7000000.0,546201.0,1732228.0,LGF,"[10749, 18]",en,7.313,7.3,360.0,2015-10-02,2015.0,10.0
Dom Hemingway,7000000.0,523511.0,1857458.0,FoxS,"[35, 80, 18]",en,7.254,5.8,302.0,2014-04-03,2014.0,4.0
The Extra Man,7000000.0,453377.0,492108.0,Magn.,[35],en,5.056,5.9,46.0,2010-08-01,2010.0,8.0
Hesher,7000000.0,382946.0,382946.0,WHE,[18],en,7.14,7.0,335.0,2010-01-22,2010.0,1.0
Ca$h,7000000.0,46488.0,46488.0,,"[80, 53, 35, 9648]",en,8.503,5.8,112.0,2010-01-01,2010.0,1.0
Trudno byt bogom,7000000.0,31443.0,41038.0,,,,,,,,2015.0,1.0
Snezhnaya koroleva,7000000.0,0.0,15193977.0,,,,,,,,2014.0,1.0
Oddball,7000000.0,0.0,10237229.0,,,,,,,,2016.0,12.0
Z Storm,7000000.0,0.0,2053330.0,,,,,,,,2015.0,8.0
Geroy,7000000.0,0.0,1545121.0,,,,,,,,2015.0,12.0
Twixt,7000000.0,0.0,1268346.0,,"[27, 9648, 14, 35]",en,6.12,5.0,132.0,2012-08-10,2012.0,8.0
Criminal Activities,7000000.0,0.0,386744.0,,"[53, 80, 18]",en,7.914,5.9,166.0,2015-11-20,2015.0,11.0
Alpha & Omega: The Legend of the Saw Tooth Cave,7000000.0,0.0,0.0,,,,,,,,2015.0,9.0
House at the End of the Street,6900000.0,31611916.0,44103982.0,,"[27, 53]",en,8.72,5.8,1033.0,2012-09-21,2012.0,9.0
Two Lovers and a Bear,6840000.0,0.0,22273.0,,,,,,,,2017.0,1.0
Incendies,6800000.0,6857096.0,16038343.0,,"[18, 10752, 9648]",fr,8.972999999999997,8.1,1034.0,2010-09-04,2010.0,9.0
