	production_budget	domestic_gross_x	worldwide_gross	month	year	studio	genre_ids	original_language	popularity	vote_average	vote_count	date	month	year
The Sons of Tennessee Williams							[99, 36]	en	0.6	7.5	2.0	2010-06-26	6.0	2010.0
Shock Festival							[]	en	0.6	7.5	1.0	2010-02-09	2.0	2010.0
Celtic Thunder: Christmas							[10402]	en	0.6	7.5	1.0	2010-11-22	11.0	2010.0
Hal Sparks: Charmageddon							[35]	en	0.6	7.5	2.0	2010-06-04	6.0	2010.0
Millhaven							[]	en	0.6	7.5	4.0	2010-12-01	12.0	2010.0
Last Day of the Dinosaurs							[99]	en	0.6	7.4	7.0	2010-08-29	8.0	2010.0
Dock Ellis & The LSD No-No							[16, 99]	en	0.6	7.3	3.0	2010-06-01	6.0	2010.0
The Day Before Disclosure							[99]	en	0.6	7.3	6.0	2010-12-01	12.0	2010.0
The Deep							[16]	en	0.6	7.3	12.0	2010-12-16	12.0	2010.0
Raging Boll							[]	en	0.6	7.3	4.0	2010-10-23	10.0	2010.0
Leonard Cohen - Songs from the Road							[10402]	en	0.6	7.3	4.0	2010-09-14	9.0	2010.0
UFOs: The Secret History							[]	en	0.6	7.2	3.0	2010-07-13	7.0	2010.0
Constructing a House							[99]	en	0.6	7.0	1.0	2010-10-26	10.0	2010.0
OneTwoThree							[]	en	0.6	7.0	1.0	2010-04-24	4.0	2010.0
Madcap Mabel							[18]	en	0.6	7.0	1.0	2010-02-02	2.0	2010.0
Dream #7							[16]	en	0.6	7.0	1.0	2010-09-15	9.0	2010.0
Heaven Burns							[18]	en	0.6	7.0	1.0	2010-07-27	7.0	2010.0
One on One							[35]	en	0.6	7.0	1.0	2010-01-01	1.0	2010.0
Dead End							[27]	en	0.6	7.0	1.0	2010-01-01	1.0	2010.0
Heart							[]	it	0.6	7.0	1.0	2010-09-18	9.0	2010.0
Badass Thieves							[35, 80]	en	0.6	7.0	1.0	2010-09-10	9.0	2010.0
The McVeigh Tapes: Confessions of an American Terrorist							[99]	en	0.6	7.0	1.0	2010-04-19	4.0	2010.0
Release							[99]	en	0.6	7.0	2.0	2010-01-01	1.0	2010.0
The Man Beyond the Bridge							[]	mr	0.6	7.0	1.0	2010-01-18	1.0	2010.0
The Son of the Olive Merchant							[]	fr	0.6	7.0	1.0	2010-01-01	1.0	2010.0
Going Blind							[]	en	0.6	7.0	1.0	2010-10-08	10.0	2010.0
Geek War							[]	en	0.6	7.0	1.0	2010-02-28	2.0	2010.0
My House is Full of Mirrors							[]	en	0.6	7.0	1.0	2010-03-14	3.0	2010.0
A Film For Families About Learning Differences							[99]	en	0.6	7.0	1.0	2010-10-26	10.0	2010.0
Call of Life: Facing the Mass Extinction							[99]	en	0.6	7.0	1.0	2010-05-11	5.0	2010.0
Killing Us Softly 4: Advertising's Image Of Women							[99]	en	0.6	7.0	2.0	2010-01-01	1.0	2010.0
An Acrid Yarn							[53]	en	0.6	7.0	1.0	2010-01-01	1.0	2010.0
Sexting							[]	en	0.6	7.0	1.0	2010-10-09	10.0	2010.0
May Story							[]	ko	0.6	7.0	1.0	2010-01-01	1.0	2010.0
Friction							[]	en	0.6	7.0	1.0	2010-02-27	2.0	2010.0
The Warriors of Qiugang							[]	zh	0.6	7.0	1.0	2010-09-17	9.0	2010.0
The Suicide Tourist							[]	en	0.6	7.0	1.0	2010-03-02	3.0	2010.0
Feathered Cocaine							[99]	sv	0.6	7.0	1.0	2010-04-22	4.0	2010.0
Dark Times							[27, 878]	en	0.6	7.0	2.0	2010-10-19	10.0	2010.0
Sensology							[16]	en	0.6	7.0	1.0	2010-07-30	7.0	2010.0
Shuffle							[18, 53]	en	0.6	7.0	1.0	2010-05-10	5.0	2010.0
Broken Dreams							[18]	en	0.6	7.0	1.0	2010-10-16	10.0	2010.0
Hens and Chicks							[18, 35]	en	0.6	7.0	1.0	2010-04-17	4.0	2010.0
The Empty Playground							[18]	en	0.6	7.0	1.0	2010-04-25	4.0	2010.0
No Man's Land							[18]	en	0.6	7.0	1.0	2010-01-01	1.0	2010.0
Rambo: To Hell and Back							[]	en	0.6	7.0	2.0	2010-07-27	7.0	2010.0
...Around							[18]	en	0.6	7.0	2.0	2010-01-24	1.0	2010.0
NatGeoHD Oceani Asciutti							[99]	it	0.6	7.0	1.0	2010-02-23	2.0	2010.0
Broken Hearts							[]	en	0.6	7.0	1.0	2010-05-14	5.0	2010.0
Skatopia: 88 Acres of Anarchy							[99]	en	0.6	7.0	1.0	2010-09-02	9.0	2010.0
West of the Moon							[]	en	0.6	7.0	1.0	2010-07-20	7.0	2010.0
Scream Of The Bikini							[35]	en	0.6	7.0	1.0	2010-04-02	4.0	2010.0
Bombay Summer							[18]	en	0.6	7.0	1.0	2010-10-08	10.0	2010.0
The House of Suh							[80, 99]	en	0.6	7.0	2.0	2010-05-05	5.0	2010.0
Music by Prudence							[99]	en	0.6	7.0	2.0	2010-04-01	4.0	2010.0
When Herzog Rescued Phoenix							[]	en	0.6	7.0	1.0	2010-09-06	9.0	2010.0
When Lynch Met Lucas							[]	en	0.6	7.0	1.0	2010-02-13	2.0	2010.0
Stanley Pickle							[]	en	0.6	7.0	2.0	2010-06-06	6.0	2010.0
Overdose: The Next Financial Crisis							[99]	en	0.6	7.0	3.0	2010-01-01	1.0	2010.0
Gaysharktank.com							[35]	en	0.6	7.0	1.0	2010-01-01	1.0	2010.0
Freedom Riders							[99, 36]	en	0.6	7.0	4.0	2010-01-01	1.0	2010.0
Strangers No More							[99]	en	0.6	7.0	1.0	2010-01-01	1.0	2010.0
The Disappearance of McKinley Nolan							[99]	en	0.6	7.0	1.0	2010-10-01	10.0	2010.0
Antardwand							[18]	hi	0.6	7.0	3.0	2010-08-27	8.0	2010.0
Chosin							[36, 99, 18, 10752]	en	0.6	7.0	1.0	2010-09-10	9.0	2010.0
Iconoclast							[99]	en	0.6	7.0	1.0	2010-08-17	8.0	2010.0
The Legend of Hallowdega							[35, 14]	en	0.6	7.0	1.0	2010-10-31	10.0	2010.0
Billy Owens and the Secret of the Runes							[12, 10751, 14, 878]	en	0.6	7.0	1.0	2010-01-01	1.0	2010.0
Reparando							[]	en	0.6	7.0	2.0	2010-01-01	1.0	2010.0
Hitler's Secret Weapon							[99]	en	0.6	7.0	1.0	2010-06-21	6.0	2010.0
Total Badass							[99, 35]	en	0.6	7.0	1.0	2010-11-19	11.0	2010.0
The Nothing Men							[18]	en	0.6	7.0	2.0	2010-02-05	2.0	2010.0
Kevorkian							[99]	en	0.6	7.0	1.0	2010-06-28	6.0	2010.0
Phyllis and Harold							[99, 10749]	en	0.6	7.0	2.0	2010-02-19	2.0	2010.0
Korn Live: The Encounter							[10402]	en	0.6	7.0	1.0	2010-07-11	7.0	2010.0
Kapitein Rob en het Geheim van Professor Lupardi							[12, 18, 10751]	nl	0.6	7.0	1.0	2010-09-07	9.0	2010.0
Truth in Motion: The U.S. Ski Team's Road to Vancouver							[99]	en	0.6	7.0	1.0	2010-01-30	1.0	2010.0
Anjelah Johnson: That's How We Do It							[35]	en	0.6	7.0	6.0	2010-02-09	2.0	2010.0
En helt vanlig dag på jobben							[18, 35, 10749]	en	0.6	7.0	2.0	2010-03-12	3.0	2010.0
Coronation Street: A Knight's Tale							[]	en	0.6	6.9	4.0	2010-11-01	11.0	2010.0
The New Year							[18, 35, 10749]	en	0.6	6.8	6.0	2010-07-30	7.0	2010.0
The 3rd Letter							[878]	en	0.6	6.8	4.0	2010-03-03	3.0	2010.0
Some Dogs Bite							[18]	en	0.6	6.8	4.0	2010-10-01	10.0	2010.0
Morgan M. Morgansen's Date with Destiny							[35, 10749]	en	0.6	6.7	7.0	2010-01-24	1.0	2010.0
The Monk And The Monkey							[16]	en	0.6	6.7	3.0	2010-07-01	7.0	2010.0
Kati with an I							[99]	en	0.6	6.7	3.0	2010-01-01	1.0	2010.0
Larry the Cable Guy: Tailgate Party							[35]	en	0.6	6.6	5.0	2010-01-31	1.0	2010.0
Boys Life 7							[18]	en	0.6	6.5	2.0	2010-12-07	12.0	2010.0
Behold							[27]	en	0.6	6.5	1.0	2010-09-06	9.0	2010.0
The High Level Bridge							[]	en	0.6	6.5	2.0	2010-01-01	1.0	2010.0
Psychohydrography							[99]	en	0.6	6.5	2.0	2010-10-01	10.0	2010.0
Leslie Jordan: My Trip Down the Pink Carpet							[35]	en	0.6	6.5	2.0	2010-09-07	9.0	2010.0
Baby Jane?							[35]	en	0.6	6.5	2.0	2010-06-22	6.0	2010.0
Everything Is a Remix							[99]	en	0.6	6.5	4.0	2010-01-31	1.0	2010.0
Blackfield: Live in NYC							[10402]	en	0.6	6.5	3.0	2010-04-23	4.0	2010.0
Wake Up							[99]	en	0.6	6.5	6.0	2010-09-14	9.0	2010.0
Upside							[18]	en	0.6	6.5	2.0	2010-10-05	10.0	2010.0
The Book of Zombie							[27]	en	0.6	6.5	2.0	2010-06-05	6.0	2010.0
Mister Rogers & Me							[99]	en	0.6	6.5	2.0	2010-03-20	3.0	2010.0
Iti Mrinalini: An Unfinished Letter...							[]	en	0.6	6.5	2.0	2010-10-25	10.0	2010.0
The Happy Poet							[35]	en	0.6	6.5	4.0	2010-09-17	9.0	2010.0
The United Monster Talent Agency							[35]	en	0.6	6.5	2.0	2010-09-27	9.0	2010.0
The Last 3 Minutes							[18]	en	0.6	6.5	1.0	2010-03-08	3.0	2010.0
Food Stamped							[99]	en	0.6	6.5	2.0	2010-10-09	10.0	2010.0
Curious Thing							[18, 10749]	en	0.6	6.5	2.0	2010-01-01	1.0	2010.0
Johnny							[18]	en	0.6	6.5	4.0	2010-08-23	8.0	2010.0
Death of a Nation							[]	en	0.6	6.5	1.0	2010-06-27	6.0	2010.0
The Illuminati IV: Brotherhood of the Beast							[99]	en	0.6	6.5	1.0	2010-10-01	10.0	2010.0
Chasing Legends							[99]	en	0.6	6.5	2.0	2010-05-10	5.0	2010.0
BluScenes: Majestic Waterfalls							[99]	en	0.6	6.5	1.0	2010-11-23	11.0	2010.0
Don't Tread On Me							[99]	en	0.6	6.5	1.0	2010-05-01	5.0	2010.0
God Of War: Unearthing the Legend							[99]	en	0.6	6.5	2.0	2010-03-16	3.0	2010.0
Olivia: Olivia Takes Ballet							[16, 10751]	en	0.6	6.5	1.0	2010-03-02	3.0	2010.0
Jan Gintberg: Fremtid.nu							[35]	da	0.6	6.5	2.0	2010-01-01	1.0	2010.0
The Sweet Hand of the White Rose							[18, 14]	en	0.6	6.5	2.0	2010-05-30	5.0	2010.0
Winter Stalker							[]	en	0.6	6.3	3.0	2010-10-16	10.0	2010.0
Any Human Heart							[]	en	0.6	6.3	3.0	2010-06-30	6.0	2010.0
Old Cats							[18, 35]	es	0.6	6.3	3.0	2010-10-08	10.0	2010.0
A Million in the Morning							[99]	en	0.6	6.3	3.0	2010-01-29	1.0	2010.0
Autumn							[18]	en	0.6	6.3	6.0	2010-11-01	11.0	2010.0
A Walk in My Shoes							[18]	en	0.6	6.3	3.0	2010-12-03	12.0	2010.0
Children of Invention							[35, 18, 10749]	en	0.6	6.3	7.0	2010-08-10	8.0	2010.0
En Route							[]	it	0.6	6.3	2.0	2010-05-28	5.0	2010.0
Hello Lonesome							[18, 35, 10749]	en	0.6	6.3	4.0	2010-06-01	6.0	2010.0
Foreign Parts							[99]	en	0.6	6.3	4.0	2010-10-10	10.0	2010.0
Mount St. Elias							[99]	en	0.6	6.3	4.0	2010-05-28	5.0	2010.0
TeleVision							[99]	en	0.6	6.2	3.0	2010-09-29	9.0	2010.0
Focus: A Documentary							[99]	en	0.6	6.2	6.0	2010-01-05	1.0	2010.0
Dive!							[99]	en	0.6	6.2	3.0	2010-02-05	2.0	2010.0
Eye Trip							[28]	en	0.6	6.2	3.0	2010-11-28	11.0	2010.0
The Codes of Gender							[99]	en	0.6	6.1	4.0	2010-10-13	10.0	2010.0
The Fence (La Barda)							[99]	en	0.6	6.1	4.0	2010-01-19	1.0	2010.0
All I Ever Wanted: The Airborne Toxic Event Live from Walt Disney Concert Hall							[99, 10402]	en	0.6	6.1	4.0	2010-09-28	9.0	2010.0
Agenda Grinding America Down							[99]	en	0.6	6.1	6.0	2010-09-03	9.0	2010.0
House of Hope							[27]	en	0.6	6.0	1.0	2010-09-01	9.0	2010.0
Visionaries							[99]	en	0.6	6.0	1.0	2010-01-01	1.0	2010.0
Vampires							[16]	en	0.6	6.0	1.0	2010-08-08	8.0	2010.0
Chicago Blackhawks 2010 Stanley Cup Champions							[99]	en	0.6	6.0	1.0	2010-07-20	7.0	2010.0
Frontline: Death by Fire							[99]	en	0.6	6.0	1.0	2010-10-19	10.0	2010.0
A.M.							[]	en	0.6	6.0	2.0	2010-06-09	6.0	2010.0
American Coup							[36, 99]	en	0.6	6.0	1.0	2010-11-09	11.0	2010.0
Sharp Edge Blunt							[]	en	0.6	6.0	1.0	2010-01-01	1.0	2010.0
The Track Meet							[10749, 35]	en	0.6	6.0	1.0	2010-11-19	11.0	2010.0
Liquid Memories							[16, 27]	en	0.6	6.0	1.0	2010-01-01	1.0	2010.0
Morning Echo							[]	en	0.6	6.0	1.0	2010-04-16	4.0	2010.0
Not Just a Game							[]	en	0.6	6.0	1.0	2010-01-01	1.0	2010.0
Inside the Actor's Workshop							[35]	en	0.6	6.0	1.0	2010-09-15	9.0	2010.0
The Bowler							[99]	en	0.6	6.0	1.0	2010-01-01	1.0	2010.0
Weirdest Dinosaurs							[99]	en	0.6	6.0	1.0	2010-02-09	2.0	2010.0
DemiUrge Emesis							[16, 27]	en	0.6	6.0	2.0	2010-04-22	4.0	2010.0
House of Black Wings							[27]	en	0.6	6.0	1.0	2010-05-25	5.0	2010.0
Arcana							[]	en	0.6	6.0	1.0	2010-01-01	1.0	2010.0
Babioles							[16]	fr	0.6	6.0	1.0	2010-06-01	6.0	2010.0
Bridge							[]	en	0.6	6.0	1.0	2010-05-01	5.0	2010.0
H.R. Giger's Art in Motion							[99]	en	0.6	6.0	1.0	2010-01-01	1.0	2010.0
Peaceforce							[]	en	0.6	6.0	2.0	2010-01-01	1.0	2010.0
My Mic Sounds Nice: A Truth About Women and Hip-Hop							[10402, 99]	en	0.6	6.0	1.0	2010-08-30	8.0	2010.0
Bobby Slayton: Born to Be Bobby							[]	en	0.6	6.0	1.0	2010-03-04	3.0	2010.0
Ma femme, ma fille, 2 bébés							[]	fr	0.6	6.0	5.0	2010-01-01	1.0	2010.0
One Long Day							[]	en	0.6	6.0	1.0	2010-08-06	8.0	2010.0
Arcadia Lost							[18]	en	0.6	6.0	1.0	2010-06-12	6.0	2010.0
The Real Face of Jesus?							[99]	en	0.6	6.0	1.0	2010-03-30	3.0	2010.0
Here After							[18]	en	0.6	6.0	2.0	2010-01-30	1.0	2010.0
I Sold My Soul to Satan							[99]	en	0.6	6.0	1.0	2010-08-27	8.0	2010.0
Beating Hearts							[27]	en	0.6	6.0	2.0	2010-07-20	7.0	2010.0
Scientology: The Ex-Files							[]	en	0.6	6.0	1.0	2010-12-03	12.0	2010.0
No Contract, No Cookies: The Stella D'Oro Strike							[99]	en	0.6	6.0	1.0	2010-08-20	8.0	2010.0
Cup Cake							[35]	en	0.6	6.0	1.0	2010-08-01	8.0	2010.0
Two Cabins							[]	en	0.6	6.0	1.0	2010-01-01	1.0	2010.0
Hope, Ghana							[99]	en	0.6	6.0	1.0	2010-10-30	10.0	2010.0
I'm Not Here (And She's Not There)							[9648, 10749]	en	0.6	6.0	1.0	2010-04-11	4.0	2010.0
Over Coffee							[35]	en	0.6	6.0	1.0	2010-02-09	2.0	2010.0
The Restaurateur							[99]	en	0.6	6.0	1.0	2010-10-15	10.0	2010.0
Face Behind the Clown							[]	en	0.6	6.0	1.0	2010-04-27	4.0	2010.0
Atomic Brain Invasion							[878, 35, 27]	en	0.6	6.0	1.0	2010-01-01	1.0	2010.0
OJ Simpson: Monster or Myth?							[]	en	0.6	6.0	2.0	2010-01-01	1.0	2010.0
Surviving Hitler: A Love Story							[]	en	0.6	6.0	1.0	2010-11-13	11.0	2010.0
Lazy Teenage Superheroes							[]	en	0.6	6.0	1.0	2010-01-01	1.0	2010.0
She Who Measures							[16]	hr	0.6	6.0	2.0	2010-09-28	9.0	2010.0
Last Address							[99]	en	0.6	6.0	1.0	2010-01-15	1.0	2010.0
Queen Pin							[]	en	0.6	6.0	2.0	2010-08-10	8.0	2010.0
Stephen Fry Live at the Sydney Opera House							[]	en	0.6	6.0	1.0	2010-10-03	10.0	2010.0
Always, Only, Ever							[]	en	0.6	6.0	1.0	2010-01-01	1.0	2010.0
Empire							[]	en	0.6	6.0	1.0	2010-06-18	6.0	2010.0
Tapestries of Hope							[99]	en	0.6	6.0	1.0	2010-09-28	9.0	2010.0
Winston Churchill: Walking with Destiny							[99]	en	0.6	6.0	3.0	2010-08-20	8.0	2010.0
Savage County							[27, 10770]	en	0.6	6.0	1.0	2010-01-01	1.0	2010.0
Dark Fantasies							[14, 878]	en	0.6	6.0	1.0	2010-10-09	10.0	2010.0
Absinthe							[99]	en	0.6	6.0	1.0	2010-01-01	1.0	2010.0
Kill All Redneck Pricks: KARP LIVES! 1990-1998							[]	en	0.6	6.0	1.0	2010-01-01	1.0	2010.0
Dissolution							[]	en	0.6	6.0	1.0	2010-01-01	1.0	2010.0
Audrey the Trainwreck							[18, 10749]	en	0.6	6.0	2.0	2010-01-01	1.0	2010.0
Black Butterfly							[18]	en	0.6	6.0	1.0	2010-03-17	3.0	2010.0
Sex Magic							[99]	en	0.6	6.0	2.0	2010-01-01	1.0	2010.0
The S From Hell							[99, 27]	en	0.6	6.0	4.0	2010-01-20	1.0	2010.0
The Wolf Knife							[18]	en	0.6	6.0	1.0	2010-06-22	6.0	2010.0
Rocksteady							[28, 18]	en	0.6	6.0	1.0	2010-10-01	10.0	2010.0
Boys of Summer							[99]	en	0.6	6.0	1.0	2010-07-28	7.0	2010.0
Beer Pong Saved My Life							[35]	en	0.6	6.0	1.0	2010-01-01	1.0	2010.0
Abnormal Activity							[35, 27, 9648, 53]	en	0.6	6.0	2.0	2010-06-07	6.0	2010.0
No Deal							[35, 10749]	en	0.6	6.0	1.0	2010-07-06	7.0	2010.0
Budrus							[99]	en	0.6	6.0	1.0	2010-10-08	10.0	2010.0
A Fragile Hit							[18, 80]	en	0.6	6.0	1.0	2010-11-16	11.0	2010.0
Tim Hawkins - Insanitized							[35]	en	0.6	6.0	3.0	2010-10-26	10.0	2010.0
The Prankster							[35, 10751]	en	0.6	6.0	3.0	2010-01-01	1.0	2010.0
Sandcastle							[18]	pl	0.6	6.0	3.0	2010-08-26	8.0	2010.0
Cooking With Stella							[18, 35, 10749]	it	0.6	6.0	2.0	2010-04-10	4.0	2010.0
Standing Firm							[18]	en	0.6	6.0	1.0	2010-08-24	8.0	2010.0
Sins of the Mother							[18]	en	0.6	6.0	4.0	2010-02-21	2.0	2010.0
Die Beauty							[18, 53]	en	0.6	6.0	1.0	2010-09-17	9.0	2010.0
End Of Liberty							[99]	en	0.6	6.0	1.0	2010-11-30	11.0	2010.0
Compensation							[18]	ru	0.6	6.0	3.0	2010-11-11	11.0	2010.0
Dead Enders							[27, 53]	en	0.6	6.0	3.0	2010-11-09	11.0	2010.0
The Dry Land							[18]	en	0.6	6.0	2.0	2010-07-30	7.0	2010.0
The Wrath of Cain							[28]	en	0.6	6.0	9.0	2010-11-16	11.0	2010.0
Harmony and Me							[35, 10749]	en	0.6	5.8	6.0	2010-01-15	1.0	2010.0
Please Remove Your Shoes							[99]	en	0.6	5.8	3.0	2010-07-01	7.0	2010.0
Erasing David							[99]	en	0.6	5.8	6.0	2010-04-29	4.0	2010.0
Holy Grail in America							[10770, 99]	en	0.6	5.8	2.0	2010-03-16	3.0	2010.0
The Vinyl Frontier							[99]	en	0.6	5.8	2.0	2010-05-08	5.0	2010.0
Welcome to Africa: The Official Film of 2010 FIFA World Cup South Africa							[99]	en	0.6	5.8	4.0	2010-11-16	11.0	2010.0
Waterberry Tears							[18]	en	0.6	5.7	3.0	2010-01-01	1.0	2010.0
Monica & David							[99]	en	0.6	5.7	3.0	2010-10-14	10.0	2010.0
Pelada							[99]	en	0.6	5.7	3.0	2010-03-01	3.0	2010.0
Witch Hunter's Bible							[99]	en	0.6	5.7	3.0	2010-09-05	9.0	2010.0
Mars							[16, 35, 10749, 878]	en	0.6	5.7	6.0	2010-11-03	11.0	2010.0
The Freedom Movie 2: A Spiritual Awakening							[99]	en	0.6	5.7	3.0	2010-02-08	2.0	2010.0
The Big Picture							[]	en	0.6	5.5	2.0	2010-01-01	1.0	2010.0
Public Relations							[35]	en	0.6	5.5	2.0	2010-01-01	1.0	2010.0
Rainbow Kronos Quartet with Alim & Fargana Qasimov and Homayun Sakhi							[99, 10402]	it	0.6	5.5	1.0	2010-03-30	3.0	2010.0
In the footsteps of Babur Musical encounters from the Lands of the Mughals							[99, 10402]	it	0.6	5.5	1.0	2010-03-30	3.0	2010.0
Chilango Chronicles							[]	en	0.6	5.5	2.0	2010-08-13	8.0	2010.0
On Coal River							[]	en	0.6	5.5	2.0	2010-06-25	6.0	2010.0
MicroWorlds							[99, 10751]	it	0.6	5.5	1.0	2010-09-25	9.0	2010.0
These Showers Can Talk							[]	en	0.6	5.5	1.0	2010-08-22	8.0	2010.0
* Cemetery							[35, 27, 53]	en	0.6	5.5	2.0	2010-01-01	1.0	2010.0
Ed Hardy: Tattoo the World							[99]	en	0.6	5.5	2.0	2010-10-09	10.0	2010.0
Once Upon a Time in a Battlefield							[36, 10752, 35]	ko	0.6	5.5	2.0	2010-03-29	3.0	2010.0
Blake Shelton Live: It's All About Tonight							[]	en	0.6	5.5	2.0	2010-09-08	9.0	2010.0
Zombie Roadkill							[27, 35]	en	0.6	5.5	2.0	2010-10-04	10.0	2010.0
One Angry Juror							[18]	en	0.6	5.5	2.0	2010-11-15	11.0	2010.0
Schooling the World: The White Man's Last Burden							[99]	en	0.6	5.5	2.0	2010-06-01	6.0	2010.0
Ana Popovic Band: An Evening At Trasimeno Lake							[10402]	en	0.6	5.5	1.0	2010-01-01	1.0	2010.0
Dumbstruck							[99]	en	0.6	5.5	3.0	2010-01-26	1.0	2010.0
Coopers' Camera							[35]	en	0.6	5.5	4.0	2010-11-16	11.0	2010.0
Voyage to Metropolis							[18, 99, 878]	en	0.6	5.4	5.0	2010-11-23	11.0	2010.0
Rhod Gilbert and The Cat That Looked Like Nicholas Lyndhurst							[35]	en	0.6	5.4	5.0	2010-11-15	11.0	2010.0
Core							[99]	en	0.6	5.4	4.0	2010-04-28	4.0	2010.0
How to Rid Your Lover of a Negative Emotion Caused by You!							[]	en	0.6	5.3	3.0	2010-01-01	1.0	2010.0
Into the Cold: A Journey of the Soul							[99, 36]	en	0.6	5.3	3.0	2010-04-01	4.0	2010.0
Devin Townsend Project - Tuska Open Air Metal Festival							[10402]	fr	0.6	5.3	3.0	2010-01-01	1.0	2010.0
The Puppet Monster Massacre							[35, 16, 12]	en	0.6	5.3	3.0	2010-01-11	1.0	2010.0
Sinbad: Where U Been?							[35]	en	0.6	5.3	3.0	2010-02-21	2.0	2010.0
WebSiteStory							[28, 18]	en	0.6	5.3	3.0	2010-01-01	1.0	2010.0
Healing Hands							[18, 10751, 10749, 10770]	en	0.6	5.3	3.0	2010-03-20	3.0	2010.0
Iep!							[12, 10751]	nl	0.6	5.3	3.0	2010-04-20	4.0	2010.0
Megafactories: Jack Danniels							[99]	en	0.6	5.3	2.0	2010-01-01	1.0	2010.0
iPsycho							[18, 27]	en	0.6	5.3	2.0	2010-08-13	8.0	2010.0
Western X							[28, 12, 37]	en	0.6	5.3	2.0	2010-01-02	1.0	2010.0
Roger Waters The Wall on Tour 2010 (iShoot, iEdit)							[10402]	en	0.6	5.3	2.0	2010-11-11	11.0	2010.0
Blood of Havana							[99, 35]	en	0.6	5.3	4.0	2010-05-02	5.0	2010.0
The Seeker's Guide to Harry Potter							[99]	en	0.6	5.3	2.0	2010-11-23	11.0	2010.0
Paula-Paula							[18]	es	0.6	5.3	4.0	2010-02-01	2.0	2010.0
Danny Bhoy: Subject to Change							[35]	en	0.6	5.3	2.0	2010-11-08	11.0	2010.0
Next Stop Murder							[53]	en	0.6	5.3	2.0	2010-09-19	9.0	2010.0
Thuy Nga Paris By Night 99							[10402]	en	0.6	5.3	2.0	2010-04-08	4.0	2010.0
Gingerdead: The Adventures of Nella & Nello							[35, 27, 18]	en	0.6	5.3	2.0	2010-12-10	12.0	2010.0
Absinthe NowHere							[]	en	0.6	5.3	2.0	2010-10-01	10.0	2010.0
White Knuckles							[18, 53]	en	0.6	5.2	3.0	2010-06-10	6.0	2010.0
Obselidia							[18, 10749]	en	0.6	5.2	3.0	2010-01-22	1.0	2010.0
Secrets of the Mountain							[10751]	en	0.6	5.2	6.0	2010-04-16	4.0	2010.0
Panman							[]	en	0.6	5.1	5.0	2010-08-20	8.0	2010.0
Lebanon, Pa.							[18, 10749]	en	0.6	5.1	5.0	2011-04-29	4.0	2011.0
California Gurls							[]	en	0.6	5.0	1.0	2010-06-14	6.0	2010.0
Lies Between Friends							[9648, 10770]	en	0.6	5.0	1.0	2010-07-31	7.0	2010.0
Timeless: The Composer/Arranger Series (Arthur Verocai)							[99]	en	0.6	5.0	1.0	2010-01-01	1.0	2010.0
The White Day							[9648]	en	0.6	5.0	1.0	2010-01-01	1.0	2010.0
Heels							[]	en	0.6	5.0	1.0	2010-08-15	8.0	2010.0
Tea Time							[]	en	0.6	5.0	1.0	2010-12-30	12.0	2010.0
Mere Mystery							[]	en	0.6	5.0	1.0	2010-10-13	10.0	2010.0
Final Revision							[53, 18, 9648]	en	0.6	5.0	1.0	2010-01-01	1.0	2010.0
Mater Suspiria Vision - ON TV III							[]	en	0.6	5.0	1.0	2010-01-01	1.0	2010.0
Who We Are							[10749, 18]	en	0.6	5.0	2.0	2010-04-24	4.0	2010.0
Bastard							[]	en	0.6	5.0	2.0	2010-04-23	4.0	2010.0
AbUSed: The Postville Raid							[]	en	0.6	5.0	1.0	2010-01-01	1.0	2010.0
Here I Am							[]	en	0.6	5.0	1.0	2010-01-01	1.0	2010.0
La historia de siempre							[18]	en	0.6	5.0	2.0	2010-05-22	5.0	2010.0
Beyond Enchantment							[]	en	0.6	5.0	1.0	2010-06-06	6.0	2010.0
Northern Comfort							[18]	en	0.6	5.0	1.0	2010-05-28	5.0	2010.0
720 Degrees							[]	en	0.6	5.0	2.0	2010-10-31	10.0	2010.0
The President's Book of Secrets							[99]	en	0.6	5.0	1.0	2010-12-01	12.0	2010.0
The Assignment							[10751, 18]	en	0.6	5.0	2.0	2010-06-15	6.0	2010.0
Field Guide To November Days							[]	en	0.6	5.0	1.0	2010-02-22	2.0	2010.0
Atomic Mom							[]	en	0.6	5.0	1.0	2010-01-01	1.0	2010.0
Monster							[]	en	0.6	5.0	1.0	2010-01-01	1.0	2010.0
Stuck on Broke							[]	en	0.6	5.0	1.0	2010-08-24	8.0	2010.0
Man and Boy							[]	en	0.6	5.0	1.0	2010-04-08	4.0	2010.0
Lost Everything							[18]	en	0.6	5.0	1.0	2010-11-01	11.0	2010.0
Hypothesis							[99]	en	0.6	5.0	1.0	2010-09-09	9.0	2010.0
Butterfly Crush							[10749, 18, 10402]	en	0.6	5.0	1.0	2010-01-01	1.0	2010.0
Everyone Says I Look Just Like Her							[35, 18]	en	0.6	5.0	1.0	2010-07-19	7.0	2010.0
Delmer Builds a Machine							[]	en	0.6	5.0	1.0	2010-03-11	3.0	2010.0
The Builder							[]	en	0.6	5.0	1.0	2010-04-10	4.0	2010.0
Anne Truitt, Working							[]	en	0.6	5.0	1.0	2010-01-15	1.0	2010.0
The Captains of The Final Frontier							[99]	en	0.6	5.0	1.0	2010-11-03	11.0	2010.0
